,name,steps,cuisine
0,traditional italian spinach lasagna,"saute the onions and garlic in a heavy iron pot in olive oil, until translucent, then remove from pot, and set aside. put sausage in pot with ground fennel and brown. add basil, oregano, and parsley. stir in onions and garlic, as well as tomatoes, tomato sauce and paste. let simmer gently about 2-3 hours. boil lasagna noodles according to package directions, and hang to dry. beat together eggs, ricotta and parmesan cheese, set aside. build lasanga: barely cover bottom of large, deep lasagna pan with sauce. place a layer of noodles lengthwise over sauce. place all of spinach over noodles. cover this with a layer of noodles shortwise. spread ricotta cheese mixture over noodles, and cover this with a lengthwise layer of noodles. put one half of remaining sauce over noodles and cover with shortwise noodles. place mozzerella cheese over noodles into a somewhat solid sheet and cover with lengthwise noodles. pour remaining sauce over top. bake at 350 degrees for about 40 minutes, or until bubbly. grate hard cheese over top as soon as you pull it from the oven. serve with italian bread and a salad.",Italian
1,italian potato casserole with sweet peppers,"after cooking the potatoes let them stand for 5 minutes before slicing. place the sliced potatoes in a 9"" quiche dish or other oven proof dish. saute the onions&amp; mushrooms until just soft. beat together the eggs, cream,salt&amp; pepper. cover the potatoes with the peppers, mushrooms, onion and half the bacon. pour in the beaten egg mixture. cover with foil and bake at 350f degrees for apprx 35 minutes. uncover add the rest of the bacon. return to oven uncovered for about 10 minutes or until you can insert a knife and it comes out clean. watch your bacon doesn't get too brown, if it starts to, loosely place foil over top. casserole should be a nice golden color.",Italian
2,italian cold cut stromboli,"in a large skillet, saute onion in oil until tender. add garlic; cook one minute more, stirring constantly to prevent the garlic from burning. cool completely. on two greased baking sheets, roll each loaf of dough into 16""x10"" rectangles. spread each with 2 tbs. of pesto and sprinkle with the onion mixture. lay basil leaves down the center of each loaf. arrange the salami, prosciutto, capicola ham and mozarella cheese over each rectangle to within 1/2"" of edges. roll up jelly-roll style, starting with a long edge. pinch seams to seal, and tuck ends under. brush with remaining pesto and sprinkle with parmesan cheese. bake at 350 degrees for 30-35 minutes or until golden brown. cool 5 minutes before slicing.",Italian
3,mushroom and tortellini soup,"in large pot over medium-low heat, combine olive oil, carrots, celery and garlic. cover pot and cook, stirring occasionally, until vegetables are tender, about 15 minutes. raise heat to medium, add tomato paste and stir 1 minute. add mushrooms, broth, sherry, if using, thyme, salt and 2 cups water. cover and bring to a boil. add tortellini and cook 4 minutes or until tender. makes 8 cups.",Italian
4,angel hair with cherry tomatoes and basil,"heat olive oil in skillet. peel and gently press garlic. add garlic and crushed red pepper flakes. cut cherry tomatoes in half and tear basil into small pieces. add cherry tomatoes and basil. simmer for five minutes. season with salt &amp; black pepper, to taste. discard garlic cloves. cook pasta according to the package directions. drain and toss with sauce. garnish with freshly grated pecorino. serve with a loaf of freshly warmed bread, a salad of greens and a nice red wine.",Italian
5,my mom's strufoli,"mix all dry ingred together. mix all wet ingred together. then mix both together. mix til dough forms into a ball. then knead dough for 5 minute seperate dough into 3 equal pieces. take a section of dough and roll out to 1/8 inch thick rectangle. cut into 1/2""wide x 2""long strips. twist the strips and set aside covered. do this for all the dough. deep fry at 375 degrees til golden brown. blot on paper towels. to coat with honey put fried strufoli in a large pot. drizzle on top with honey. heat and toss til well coated. place on a serving platter and sprinkle with nonpareils. this can also be baked instead of fried. just take the cut twisted strips and place them on a parchment lined cookie sheet. bake at 375 degrees for about 10 minutes or til golden brown and crunchy. then follow the same directions to coat them with honey and nonparelis.",Italian
6,linguine with clam sauce,"boil water for the linguine. when it is a rolling boil, add the linguine and 2 teaspoons of salt. while the linguine is cooking, heat the olive oil in a small saucepan. add garlic and red pepper flakes. cook until garlic just changes color. if the garlic turns brown, the sauce will be bitter so just start over. pour the entire can of chopped clams with the clam broth into the olive oil. fill can with water and add to the mixture in the pan. turn heat to low. add parsley. cook until pasta in done. drain linguine when it is al dente and place in a large, warm bowl (place it in the oven on""warm""). add sauce to pasta and toss gently. serve with freshly grated parmesan.",Italian
7,italian meat bars,"preheat oven to 425. spread 1 roll of crescent rolls over bottom of the greased 13 x 9 pan in a sheet, spreading slightly if necessary. layer half of provolone cheese, overlapping. create 1 layer of each italian meat, slightly overlapping, in the order of your choosing. layer the rest of the provolone over the italian meats. unroll the other can of crescent rolls over the top, spreading slightly if necessary.  don't worry if it doesn't completely cover everything, they'll puff during baking. whisk together eggs and grated parmesan cheese. using a pastry brush, brush entire mixture over the top.  you can pour it into the edges and corners if you like as well. bake for 30-40 minutes or until golden brown. cool and cut into bars, or along the triangles of the crescent dough for sandwiches. the meats in the recipe list are merely suggestions.  i use whatever happens to be on sale when i go to the grocery store, but always use at least pepperoni, salami and capicola. amount of meat can be adjusted based on personal preference. instead of bars, you can also cut along the triangles from the crescent rolls and make 8 sandwiches instead.",Italian
8,pumpkin gnocchi with leek and basil butter,preheat oven to 200°c  line baking tray with non-stick baking paper.  place washed potatoes and deseeded and quartered squash on the tray and bake for 1 hour or until tender.  let cool for 20 minutes. peel potatoes and pumpkin and place in large bowl. add salt and pepper to taste then mash until smooth. stir flour into potato mixture then turn onto lightly floured surface and knead until smooth.  divide dough into 4 portions and roll each into a 2cm (1 inch) log.  use a lightly floured knife and cut each log into 2cm long pieces.  place pieces onto a baking paper lined tray. roll each piece of dough into a ball and then roll each ball over the back of a lightly floured fork to create a slightly oval shaped ball with shallow grooves and place back on the tray. leek and basil butter. heat oil over medium high heat in a frying pan.  cut the pale part of the leek into thin matchsticks and add to the oil. cook 1 - 2 minutes.  transfer leeks to a papertowel lined plate using a slotted spoon. add basil and chilli to the pan and cook for 1 - 2 minutes (until just crisp) then transfer to the plate.  add butter to the pan and heat until melted.  cover pan to keep butter warm. cook the gnocchi in 3 or 4 batches in a large saucepan of boiling water until it rises to the surface.  drain well and serve onto plates.  drizzle each plate with melted butter and top with leek/basil/chilli.,Italian
9,butternut squash with pistou,"to prepare the pistou: put the olive oil, garlic, basil leaves and a pinch of salt in a small food processor. blend well and transfer to a small bowl (if making by hand, crush the garlic into a paste, then mix with the oil and salt, and then add finely chopped basil leaves to the paste). to prepare the squash: preheat the oven to 400°f. trin the stem, then cut the squash lengthwise. scoop out the seeds. put the squash halves cut side up in a roasting pan. sprinkle the cut sides with salt. brush generously with the pistou, and let some well up in the seed cavity. roast for 40-45 minutes, until just browned at the edges and tender when pierced with a knife. serve hot, with the remaining pistou.",Italian
