,steps_tokens,steps_tokens_bow,cuisine
4259,"['drizzle', 'olive', 'oil', 'around', 'a', 'small', 'pan', 'and', 'saute', 'sausage', 'with', 'garlic', 'when', 'the', 'sausage', 'is', 'brown', 'add', 'the', 'relish', 'and', 'bring', 'to', 'a', 'simmer', 'in', 'a', 'big', 'pot', 'melt', 'the', 'butter', 'garlic', 'and', 'a', 'little', 'olive', 'oil', 'add', 'the', 'flour', 'and', 'whisk', 'together', 'add', 'the', 'rest', 'of', 'the', 'ingredients', 'except', 'for', 'the', 'rice', 'and', 'simmer', 'for', '30', 'minutes', 'serve', 'over', 'hot', 'rice']","['drizzle', 'olive', 'oil', 'around', 'small', 'pan', 'saute', 'sausage', 'garlic', 'sausage', 'brown', 'add', 'relish', 'bring', 'simmer', 'big', 'pot', 'melt', 'butter', 'garlic', 'little', 'olive', 'oil', 'add', 'flour', 'whisk', 'together', 'add', 'rest', 'ingredients', 'except', 'rice', 'simmer', 'serve', 'hot', 'rice']",Italian
8549,"['sift', 'the', 'flour', 'baking', 'powder', 'and', 'cocoa', 'powder', 'three', 'times', 'beat', 'eggs', 'add', 'icing', 'sugar', 'beat', 'until', 'fluffy', 'add', 'oil', 'gradually', 'and', 'beat', 'add', 'vanilla', 'essence', 'and', '2', 'tablespoons', 'of', 'the', 'coffee', 'liquid', 'and', 'beat', 'add', 'flour', 'mixture', 'in', 'three', 'additions', 'fold', 'with', 'a', 'spatula', 'until', 'smooth', 'transfer', 'to', 'greased', '9x9', 'square', 'tin', 'bake', 'in', 'preheated', 'oven', 'for', '45', 'minutes', 'at', '240', 'degrees', 'celsius', 'for', '10', 'minutes', 'reduce', 'temprature', 'to', '200', 'degrees', 'celsius', 'depends', 'on', 'your', 'oven', 'do', ""n't"", 'forget', 'to', 'turn', 'halfway', 'to', 'bake', 'evenly', 'insert', 'wooden', 'toothpick', 'to', 'test', 'whether', 'cooked', 'or', 'not', 'if', 'cooked', 'cool', 'and', 'remove', 'from', 'tin', 'cool', 'completely', 'whip', 'the', 'cream', 'untill', 'thick', 'add', 'sugar', 'and', 'beat', 'for', 'few', 'minutes', 'add', 'remaining', '2', 'tablespoons', 'coffee', 'liquid', 'and', 'beat', 'to', 'mix', 'cut', 'cake', 'into', '2', 'layers', 'apply', 'sugar', 'syrup', 'on', 'both', 'layers', 'then', 'spread', 'cream', 'on', 'bottom', 'layer', 'cover', 'it', 'with', 'top', 'layer', 'and', 'apply', 'cream', 'on', 'whole', 'cake', 'if', 'you', 'wish', 'to', 'make', 'a', 'design', 'on', 'cake', 'then', 'place', 'cream', 'in', 'piping', 'bag', 'and', 'make', 'design', 'on', 'cream', 'layer', 'sprinkle', 'crush', 'crunch', 'on', 'cake', 'to', 'make', 'complete', 'see', 'note', 'refrigrate', 'several', 'hours', 'before', 'serving', 'enjoy', 'note', 'cook', 'sugar', 'in', 'nonstick', 'pan', 'on', 'low', 'heat', 'until', 'melted', 'transfer', 'in', 'greased', 'heatproof', 'dish', 'let', 'it', 'cool', 'then', 'crush', 'coarsely']","['sift', 'flour', 'baking', 'powder', 'cocoa', 'powder', 'three', 'times', 'beat', 'eggs', 'add', 'icing', 'sugar', 'beat', 'fluffy', 'add', 'oil', 'gradually', 'beat', 'add', 'vanilla', 'essence', 'coffee', 'liquid', 'beat', 'add', 'flour', 'mixture', 'three', 'additions', 'fold', 'spatula', 'smooth', 'transfer', 'greased', '9x9', 'square', 'tin', 'bake', 'preheated', 'oven', 'celsius', 'reduce', 'temprature', 'celsius', 'depends', 'oven', 'forget', 'turn', 'halfway', 'bake', 'evenly', 'insert', 'wooden', 'toothpick', 'test', 'whether', 'cooked', 'cooked', 'cool', 'remove', 'tin', 'cool', 'completely', 'whip', 'cream', 'untill', 'thick', 'add', 'sugar', 'beat', 'add', 'remaining', 'coffee', 'liquid', 'beat', 'mix', 'cut', 'cake', 'layers', 'apply', 'sugar', 'syrup', 'layers', 'spread', 'cream', 'bottom', 'layer', 'cover', 'top', 'layer', 'apply', 'cream', 'whole', 'cake', 'wish', 'make', 'design', 'cake', 'place', 'cream', 'piping', 'bag', 'make', 'design', 'cream', 'layer', 'sprinkle', 'crush', 'crunch', 'cake', 'make', 'complete', 'see', 'note', 'refrigrate', 'several', 'serving', 'enjoy', 'note', 'cook', 'sugar', 'nonstick', 'pan', 'low', 'heat', 'melted', 'transfer', 'greased', 'heatproof', 'dish', 'let', 'cool', 'crush', 'coarsely']",Indian
4765,"['in', 'a', 'skillet', 'over', 'medium', 'heat', 'cook', 'the', 'sausage', 'until', 'evenly', 'brown', 'mix', 'the', 'red', 'onion', 'garlic', 'and', 'capers', 'into', 'the', 'skillet', 'and', 'cook', 'until', 'onion', 'is', 'tender', 'mix', 'in', 'the', 'mashed', 'whole', 'tomatoes', 'crushed', 'tomatoes', 'tomato', 'sauce', 'and', 'red', 'wine', 'season', 'with', 'basil', 'parsley', 'oregano', 'red', 'pepper', 'black', 'pepper', 'and', 'salt', 'bring', 'to', 'a', 'boil', 'and', 'reduce', 'heat', 'to', 'low', 'simmer', '45', 'minutes', 'stirring', 'occasionally', 'until', 'thickened', 'bring', 'a', 'large', 'pot', 'of', 'lightly', 'salted', 'water', 'to', 'a', 'boil', 'place', 'the', 'ziti', 'in', 'the', 'pot', 'cook', '10', 'minutes', 'until', 'al', 'dente', 'and', 'drain', 'serve', 'the', 'sauce', 'mixture', 'over', 'the', 'cooked', 'pasta', 'top', 'with', 'cheese']","['skillet', 'medium', 'heat', 'cook', 'sausage', 'evenly', 'brown', 'mix', 'red', 'onion', 'garlic', 'capers', 'skillet', 'cook', 'onion', 'tender', 'mix', 'mashed', 'whole', 'tomatoes', 'crushed', 'tomatoes', 'tomato', 'sauce', 'red', 'wine', 'season', 'basil', 'parsley', 'oregano', 'red', 'pepper', 'black', 'pepper', 'salt', 'bring', 'boil', 'reduce', 'heat', 'low', 'simmer', 'stirring', 'occasionally', 'thickened', 'bring', 'large', 'pot', 'lightly', 'salted', 'water', 'boil', 'place', 'ziti', 'pot', 'cook', 'al', 'dente', 'drain', 'serve', 'sauce', 'mixture', 'cooked', 'pasta', 'top', 'cheese']",Italian
9726,"['puree', 'peppers', 'and', '1', 'cup', 'vinegar', 'in', 'blender', 'be', 'careful', 'of', 'your', 'eyes', 'hot', 'fumes', 'combine', 'puree', '1', 'cup', 'vinegar', 'and', 'sugar', 'in', 'a', 'large', 'saucepan', 'bring', 'to', 'a', 'rolling', 'boil', 'and', 'boil', 'for', '10', 'minutes', 'stirring', 'constantly', 'stir', 'in', 'pectin', 'and', 'return', 'to', 'a', 'rolling', 'boil', 'for', '1', 'minute', 'remove', 'from', 'stove', 'and', 'skim', 'foam', 'ladle', 'hot', 'jelly', 'into', 'clean', 'hot', 'jars', 'leaving', '1/4', 'inch', 'head', 'space', 'adjust', 'caps', 'process', '10', 'minutes', 'in', 'boiling', 'water', 'canner', 'let', 'set', 'at', 'room', 'temperature', 'for', '24', 'hours', 'out', 'of', 'drafts', 'store', 'for', 'up', 'to', '1', 'year']","['puree', 'peppers', 'vinegar', 'blender', 'careful', 'eyes', 'hot', 'fumes', 'combine', 'puree', 'vinegar', 'sugar', 'large', 'saucepan', 'bring', 'rolling', 'boil', 'boil', 'stirring', 'constantly', 'stir', 'pectin', 'return', 'rolling', 'boil', 'remove', 'stove', 'skim', 'foam', 'ladle', 'hot', 'jelly', 'clean', 'hot', 'jars', 'leaving', 'head', 'space', 'adjust', 'caps', 'process', 'boiling', 'water', 'canner', 'let', 'set', 'room', 'temperature', 'drafts', 'store', 'year']",Indian
3472,"['heat', 'oil', 'in', 'a', 'large', 'heavy-bottomed', 'pot', 'saute', 'carrots', 'celery', 'and', 'onions', 'until', 'the', 'carrots', 'have', 'softened', 'add', 'ground', 'beef', 'and', 'stir', 'occasionally', 'to', 'break', 'up', 'the', 'pieces', 'add', 'freshly', 'ground', 'pepper', 'when', 'the', 'beef', 'is', 'fully', 'cooked', 'and', 'no', 'longer', 'pink', 'strain', 'off', 'the', 'excess', 'fat', 'and', 'discard', 'add', 'tomatoes', 'and', 'their', 'juices', 'add', 'beans', 'stock', 'oregano', 'parsley', 'and', 'pepper', 'sauce', 'stir', 'in', 'the', 'tomato', 'paste', 'add', 'the', 'pasta', 'simmer', 'at', 'least', '20', 'minutes', 'and', 'adjust', 'seasonings', 'to', 'taste']","['heat', 'oil', 'large', 'heavy', 'bottomed', 'pot', 'saute', 'carrots', 'celery', 'onions', 'carrots', 'softened', 'add', 'ground', 'beef', 'stir', 'occasionally', 'break', 'pieces', 'add', 'freshly', 'ground', 'pepper', 'beef', 'fully', 'cooked', 'longer', 'pink', 'strain', 'excess', 'fat', 'discard', 'add', 'tomatoes', 'juices', 'add', 'beans', 'stock', 'oregano', 'parsley', 'pepper', 'sauce', 'stir', 'tomato', 'paste', 'add', 'pasta', 'simmer', 'least', 'adjust', 'seasonings', 'taste']",Italian
9744,"['julienne', 'the', 'onion', 'keep', 'aside', 'clean', 'the', 'fish', 'remove', 'the', 'skin', 'and', 'cut', 'into', '1', 'inch', 'pieces', 'pour', 'the', 'oil', 'into', 'the', 'pan', 'heat', 'on', 'medium', 'saute', 'the', 'onion', 'and', 'green', 'chilies', 'for', 'five', 'minutes', 'meanwhile', 'crush', 'the', 'red', 'chili', 'with', 'garlic', 'with', 'a', 'mortar', 'and', 'pestle', 'add', 'the', 'crushed', 'chili', 'garlic', 'and', 'ginger', 'fry', 'for', '~3', 'minutes', 'meanwhile', 'add', 'turmeric', 'cardamom', 'and', 'cinnamon', 'stick', 'if', 'desired', 'once', 'the', 'smell', 'of', 'chili', 'emanates', 'add', 'the', 'coconut', 'milk', 'bring', 'to', 'a', 'simmer', 'meanwhile', 'remove', 'the', 'curry', 'leaves', 'from', 'stems', 'and', 'add', 'both', 'dice', 'the', 'tomatoes', 'reserving', '3', 'slices', 'for', 'garnish', 'keep', 'aside', 'upon', 'reaching', 'a', 'full', 'simmer', 'add', 'the', 'fish', 'and', 'salt', 'when', 'the', 'fish', 'is', 'nearly', 'well', 'cooked', 'add', 'the', 'diced', 'tomato', 'cook', 'for', '5', 'minutes', 'more', 'add', 'the', 'lemon', 'juice', 'remove', 'the', 'cinnamon', 'stick', 'cardamom', 'pods', 'and', 'curry', 'leaf', 'stems', 'transfer', 'to', 'serving', 'dish', 'cover', 'briefly', 'pan', 'fry', '3', 'tomato', 'slices', 'for', 'garnish', 'garnish', 'with', 'tomato', 'slices', 'serve', 'with', 'rice']","['julienne', 'onion', 'keep', 'aside', 'clean', 'fish', 'remove', 'skin', 'cut', 'pieces', 'pour', 'oil', 'pan', 'heat', 'medium', 'saute', 'onion', 'green', 'chilies', 'five', 'meanwhile', 'crush', 'red', 'chili', 'garlic', 'mortar', 'pestle', 'add', 'crushed', 'chili', 'garlic', 'ginger', 'fry', '~3', 'meanwhile', 'add', 'turmeric', 'cardamom', 'cinnamon', 'stick', 'desired', 'smell', 'chili', 'emanates', 'add', 'coconut', 'milk', 'bring', 'simmer', 'meanwhile', 'remove', 'curry', 'leaves', 'stems', 'add', 'dice', 'tomatoes', 'reserving', 'slices', 'garnish', 'keep', 'aside', 'upon', 'reaching', 'full', 'simmer', 'add', 'fish', 'salt', 'fish', 'nearly', 'well', 'cooked', 'add', 'diced', 'tomato', 'cook', 'add', 'lemon', 'juice', 'remove', 'cinnamon', 'stick', 'cardamom', 'pods', 'curry', 'leaf', 'stems', 'transfer', 'serving', 'dish', 'cover', 'briefly', 'pan', 'fry', 'tomato', 'slices', 'garnish', 'garnish', 'tomato', 'slices', 'serve', 'rice']",Indian
10989,"['in', 'a', 'large', 'bowl', 'combine', 'the', 'yogurt', 'curry', 'paste', 'honey', 'lemon', 'peel', 'lemon', 'juice', 'garlic', 'and', 'ginger', 'add', 'the', 'chicken', 'mango', 'bell', 'pepper', 'onion', 'celery', 'and', 'nuts', 'toss', 'to', 'combine', 'season', 'the', 'salad', 'to', 'taste', 'with', 'salt', 'and', 'pepper', 'and', 'pass', 'pita', 'bread', 'or', 'other', 'flatbread', 'around', 'the', 'table']","['large', 'bowl', 'combine', 'yogurt', 'curry', 'paste', 'honey', 'lemon', 'peel', 'lemon', 'juice', 'garlic', 'ginger', 'add', 'chicken', 'mango', 'bell', 'pepper', 'onion', 'celery', 'nuts', 'toss', 'combine', 'season', 'salad', 'taste', 'salt', 'pepper', 'pass', 'pita', 'bread', 'flatbread', 'around', 'table']",Indian
5674,"['in', 'large', 'saute', 'pan', 'heat', 'olive', 'oil', 'add', 'garlic', 'till', 'softened', 'add', 'broccoli', 'rabe', 'and', 'toss', 'add', 'chicken', 'broth', 'and', 'shrimp', 'simmer', 'till', 'shrimp', 'are', 'pink', 'but', 'not', 'overcooked', 'add', 'pepper', 'flakes', 'meantime', 'boil', 'the', 'angel', 'hair', 'and', 'drain', 'add', 'to', 'saute', 'pan', 'and', 'toss', 'well', 'with', 'tongs', 'i', 'serve', 'it', 'right', 'from', 'the', 'saute', 'pan', 'i', 'prefer', 'it', 'without', 'cheese', 'but', 'to', 'each', 'his', 'own']","['large', 'saute', 'pan', 'heat', 'olive', 'oil', 'add', 'garlic', 'till', 'softened', 'add', 'broccoli', 'rabe', 'toss', 'add', 'chicken', 'broth', 'shrimp', 'simmer', 'till', 'shrimp', 'pink', 'overcooked', 'add', 'pepper', 'flakes', 'meantime', 'boil', 'angel', 'hair', 'drain', 'add', 'saute', 'pan', 'toss', 'well', 'tongs', 'serve', 'right', 'saute', 'pan', 'prefer', 'without', 'cheese']",Italian
5186,"['beat', 'egg', 'in', 'a', 'bowl', 'with', 'a', 'fork', 'add', 'the', 'rest', 'of', 'the', 'ingredients', 'shape', 'into', '20', 'small', 'balls', 'bake', 'on', 'a', 'large', 'baking', 'sheet', 'covered', 'with', 'parchment', 'paper', 'at', '190c', 'for', '15', 'minutes', 'meetballs', 'should', 'be', 'all', 'the', 'same', 'size', 'and', 'cooked', 'through']","['beat', 'egg', 'bowl', 'fork', 'add', 'rest', 'ingredients', 'shape', 'small', 'balls', 'bake', 'large', 'baking', 'sheet', 'covered', 'parchment', 'paper', '190c', 'meetballs', 'size', 'cooked']",Italian
4766,"['combine', 'the', 'pasta', 'eggs', 'and', 'cheese', 'stirring', 'well', 'season', 'heat', 'half', 'of', 'the', 'butter', 'in', 'a', 'large', 'heavy', 'bottomed', 'frying', 'pan', 'pour', 'in', 'the', 'egg', 'mixture', 'lower', 'the', 'heat', 'and', 'cook', 'for', '10', 'minutes', 'until', 'the', 'eggs', 'are', 'just', 'set', 'but', 'still', 'very', 'soft', 'slip', 'a', 'knife', 'around', 'the', 'edge', 'to', 'loosen', 'the', 'omelet', 'then', 'using', 'a', 'spatula', 'turn', 'the', 'frittata', 'cooked', 'side', 'up', 'on', 'to', 'a', 'plate', 'patch', 'up', 'the', 'pieces', 'if', 'it', 'breaks', 'heat', 'the', 'rest', 'of', 'the', 'butter', 'in', 'the', 'pan', 'slide', 'the', 'frittata', 'back', 'into', 'the', 'pan', 'soft', 'side', 'down', 'and', 'cook', 'for', 'a', 'few', 'minutes', 'you', 'can', 'also', 'cook', 'the', 'top', 'side', 'by', 'just', 'dotting', 'with', 'butter', 'and', 'grilling', 'but', 'i', 'prefer', 'the', 'pan', 'method', 'cut', 'into', 'wedges', 'and', 'serve']","['combine', 'pasta', 'eggs', 'cheese', 'stirring', 'well', 'season', 'heat', 'half', 'butter', 'large', 'heavy', 'bottomed', 'frying', 'pan', 'pour', 'egg', 'mixture', 'lower', 'heat', 'cook', 'eggs', 'set', 'still', 'soft', 'slip', 'knife', 'around', 'edge', 'loosen', 'omelet', 'using', 'spatula', 'turn', 'frittata', 'cooked', 'side', 'plate', 'patch', 'pieces', 'breaks', 'heat', 'rest', 'butter', 'pan', 'slide', 'frittata', 'back', 'pan', 'soft', 'side', 'cook', 'also', 'cook', 'top', 'side', 'dotting', 'butter', 'grilling', 'prefer', 'pan', 'method', 'cut', 'wedges', 'serve']",Italian
